epoch,train_loss,val_loss,train_acc,val_acc
1,7.531979821977162,5.455284118652344,30.952380952380953,22.22222222222222
2,2.1284251667204357,1.8023060825135973,45.23809523809524,22.22222222222222
3,1.0931677534466697,1.568393760257297,47.61904761904762,33.333333333333336
4,1.0203996783211118,1.9445650312635634,52.38095238095238,44.44444444444444
5,1.4067951781409127,2.427347421646118,45.23809523809524,44.44444444444444
6,1.9982176990736098,1.4082906511094835,45.23809523809524,44.44444444444444
7,1.6688807606697083,3.1524865362379284,45.23809523809524,44.44444444444444
8,1.2578210546856834,1.3781939877404108,42.857142857142854,44.44444444444444
9,0.9231935682750884,1.292746490902371,57.142857142857146,44.44444444444444
10,0.7340571142378307,1.3021615081363254,59.523809523809526,22.22222222222222
