epoch,train_loss,val_loss,train_acc,val_acc
1,3.2032443614233106,1.3380610956086052,34.285714285714285,40.0
2,1.2100609427406674,1.373341621292962,39.04761904761905,28.88888888888889
3,1.1137957675116403,1.0961744467417398,40.476190476190474,40.0
4,1.0499486718858992,1.1102991104125977,45.714285714285715,35.55555555555556
5,1.0482546885808308,1.3023505767186483,41.904761904761905,35.55555555555556
6,1.05589318161919,1.6537686400943332,46.666666666666664,40.0
7,1.0980788957504999,1.2910454909006754,43.80952380952381,33.333333333333336
8,1.0684783969606673,1.403028466966417,48.095238095238095,28.88888888888889
9,1.0867286034992762,1.2412843863169352,46.19047619047619,28.88888888888889
10,0.9498688402630034,1.2762384838528102,52.857142857142854,24.444444444444443
