epoch,train_loss,val_loss,train_acc,val_acc
1,7.578654766082764,5.315297656589085,30.952380952380953,22.22222222222222
2,2.096571167310079,1.7925498750474718,45.23809523809524,22.22222222222222
3,1.084699029014224,1.5519348780314128,50.0,33.333333333333336
4,1.0137643870853243,1.8966449631585016,52.38095238095238,44.44444444444444
5,1.3923245171705882,2.385990175935957,47.61904761904762,44.44444444444444
6,1.895220086688087,1.486989524629381,40.476190476190474,33.333333333333336
7,1.6114419670332045,3.252835273742676,42.857142857142854,44.44444444444444
8,1.2656931990668887,1.3093321058485243,45.23809523809524,44.44444444444444
9,0.9078255721500942,1.3124221563339233,59.523809523809526,44.44444444444444
10,0.7193481581551688,1.2932444148593478,64.28571428571429,22.22222222222222
